"name","number","start_year","end_year","supplier","latitude","longitude","elevation"
"PORT AUGUSTA WEST","16038","1884","2010","Bureau of Meteorology","-32.4827","137.7576","9.1"
"WOOMERA (PURPLE DOWNS)","16039","1903","2008","Bureau of Meteorology","-30.7888","136.8948","85.0"
"ROXBY DOWNS STATION","16040","1931","","Bureau of Meteorology","-30.7037","136.7533","110.0"
"BON BON","16041","2009","","Bureau of Meteorology","-30.423","135.4788","160.0"
"KANYPI","16042","2003","2007","Bureau of Meteorology","-26.1673","130.1192","670.0"
"WOOMERA (SOUTH GAP STATION)","16043","1882","","Bureau of Meteorology","-31.6338","137.6218","43.0"
"TARCOOLA","16044","1903","1999","Bureau of Meteorology","-30.7111","134.5694","119.5"
"MOUNT CHRISTIE (TAR 397 MILE)","16045","1916","1983","Bureau of Meteorology","-30.5492","133.2167","209.0"
"THURLGA","16046","1898","","Bureau of Meteorology","-32.4395","135.773","300.0"
"TODMORDEN","16047","1949","","Bureau of Meteorology","-27.1391","134.7575","200.0"
"THE TWINS STATION","16048","1930","","Bureau of Meteorology","-29.9964","135.3911","185.0"
"OAK VALLEY","16049","2004","2014","Bureau of Meteorology","-29.3987","130.7483","220.0"
"WIRRAMINNA RAILWAY STATION","16050","1915","1979","Bureau of Meteorology","-31.1667","136.125","151.0"
"WIRRAPPA","16051","1915","1978","Bureau of Meteorology","-31.4225","137.99","79.0"
"WOOCALLA","16052","1915","1968","Bureau of Meteorology","-31.6883","137.175","74.0"
"YUDNAPINNA (NUMBER ONE TANK)","16053","1908","1927","Bureau of Meteorology","-32.1467","137.3411","108.0"
"WYNBRING SIDING (TAR 377 MILE)","16054","1916","1983","Bureau of Meteorology","-30.5567","133.5342","152.1"
"YARDEA","16055","1877","","Bureau of Meteorology","-32.3792","135.5247","260.0"
"YUDNAPINNA","16056","1884","","Bureau of Meteorology","-32.1232","137.1505","128.0"
"YELTACOWIE","16057","1924","1975","Bureau of Meteorology","-31.34","137.3592","107.0"
"COMET","16058","1954","1965","Bureau of Meteorology","-29.785","134.1883","172.0"
"TARCOOLA (MOBELLA)","16059","1953","","Bureau of Meteorology","-29.8113","133.3603","179.0"
"JUMBUCK","16060","1953","1965","Bureau of Meteorology","-29.8933","133.6667","190.0"
"WHITTATA","16061","1882","1929","Bureau of Meteorology","-31.735","137.42","75.0"
"WIRRAMINNA HOMESTEAD","16062","1900","","Bureau of Meteorology","-31.1989","136.2284","120.0"
"TARCOOLA (WILGENA DAMS)","16063","1887","1978","Bureau of Meteorology","-30.7283","134.6842","144.8"
"GRANITE DOWNS","16064","1965","1996","Bureau of Meteorology","-26.9383","133.4967","400.0"
"ANDAMOOKA","16065","1965","","Bureau of Meteorology","-30.449","137.1692","76.0"
"MIRIKATA","16066","1960","1980","Bureau of Meteorology","-29.8767","135.2464","204.0"
"MOUNT IVE","16067","1881","","Bureau of Meteorology","-32.4398","136.0671","177.0"
"TAR 336 MILE","16068","1918","1921","Bureau of Meteorology","-30.6833","134.2067","175.0"
"TAR 348 MILE","16069","1922","1926","Bureau of Meteorology","-30.6483","134.0","136.0"
"ARLCOODABY","16070","1894","1903","Bureau of Meteorology","-31.145","134.9667","160.0"
"ANDAMOOKA HOMESTEAD","16071","1880","1907","Bureau of Meteorology","-30.73","137.2","80.0"
"TAR 340 MILE","16072","1926","1938","Bureau of Meteorology","-30.6683","134.1467","180.0"
"FREGON","16073","1969","1989","Bureau of Meteorology","-26.7642","132.025","500.0"
"GAWLER RANGES (YARNA)","16074","1969","1990","Bureau of Meteorology","-32.0525","135.125","305.0"
"WOOMERA (MOUNT GUNSON)","16075","1970","2003","Bureau of Meteorology","-31.4382","137.1778","79.2"
"WALLATINNA HOMESTEAD","16076","1943","1956","Bureau of Meteorology","-27.4139","133.3269","330.0"
"DALLARINNA STATION","16077","1942","1947","Bureau of Meteorology","-27.2033","133.24","380.0"
"LYONS SDG (TAR 354 MILE)","16078","1940","1982","Bureau of Meteorology","-30.6367","133.9392","156.0"
"WINTINNA (SPARE TYRE HILL)","16079","1975","1975","Bureau of Meteorology","-27.7817","134.0267","300.0"
"MOUNT EBA AIRPORT","16080","1943","1952","Bureau of Meteorology","-30.1833","135.6667","161.0"
"LAKE TORRENS","16081","1973","1980","Bureau of Meteorology","-31.8953","137.7144","31.0"
"MOUNT BARRY STATION","16082","1980","","Bureau of Meteorology","-28.2415","134.9899","130.0"
"HAMILTON STATION","16083","1931","","Bureau of Meteorology","-26.7134","135.0782","170.0"
"GLENDAMBO","16084","1982","","Bureau of Meteorology","-30.9693","135.7508","150.0"
"MARLA POLICE STATION","16085","1985","","Bureau of Meteorology","-27.3002","133.6201","323.0"
"MOONAREE (KANGAROO WELL)","16086","1986","","Bureau of Meteorology","-31.7646","135.6494","275.0"
"COOBER PEDY (INGOMAR)","16087","1956","2011","Bureau of Meteorology","-29.6403","134.787","146.0"
"MINTABIE","16088","1992","","Bureau of Meteorology","-27.3148","133.2963","335.0"
"ROXBY DOWNS (OLYMPIC DAM)","16089","1992","1997","Bureau of Meteorology","-30.4494","136.8703","103.6"
"COOBER PEDY AIRPORT","16090","1994","","Bureau of Meteorology","-29.0347","134.7222","225.0"
"CADNEY PARK","16091","1993","2003","Bureau of Meteorology","-27.9069","134.0546","288.0"
"PORT AUGUSTA ARID LANDS","16092","1994","2001","Bureau of Meteorology","-32.4783","137.7386","18.5"
"CADNEY PARK (ARCKARINGA STATION)","16093","1955","","Bureau of Meteorology","-27.9375","134.739","150.0"
"COPPER HILL STATION","16094","1994","","Bureau of Meteorology","-27.9555","134.3157","250.0"
"TIEYON","16095","1995","","Bureau of Meteorology","-26.2085","133.8545","390.0"
"ROXBY DOWNS (OLYMPIC DAM AERODROME)","16096","1997","","Bureau of Meteorology","-30.4829","136.8772","98.5"
"ERNABELLA (PUKATJA)","16097","1997","","Bureau of Meteorology","-26.2635","132.1771","703.2"
"TARCOOLA AERO","16098","1997","","Bureau of Meteorology","-30.7051","134.5786","123.0"
"PIPALYATJARA","16099","2004","","Bureau of Meteorology","-26.1618","129.1656","650.0"
"LAMBINA","16100","2006","","Bureau of Meteorology","-26.908","134.0547","280.0"
"GREAT VICTORIA DESERT (LENNY'S TREE)","16101","2006","","Bureau of Meteorology","-29.3468","131.8512","215.0"
"GREAT VICTORIA DESERT (SHOTLINE)","16102","2006","","Bureau of Meteorology","-28.5253","131.5729","295.0"
"GREAT VICTORIA DESERT (EMU)","16103","2006","","Bureau of Meteorology","-28.6407","132.1918","280.0"
"GREAT VICTORIA DESERT (TALLARINGA WELL)","16104","2006","","Bureau of Meteorology","-29.029","133.2874","175.0"
"WOOMERA PROFILER","16105","2007","","Bureau of Meteorology","-30.7648","136.3375","127.0"
"WOOMERA (EVETTS FIELD)","16106","1958","1966","Bureau of Meteorology","-30.92","136.5383","136.0"
"EVELYN DOWNS","16107","2013","","Bureau of Meteorology","-28.2035","134.4852","188.0"
"ABMINGA RAILWAY SIDING","17000","1939","1980","Bureau of Meteorology","-26.1317","134.8517","217.0"
"ALBERGA","17001","1930","1979","Bureau of Meteorology","-27.2","135.4333","118.0"
"ALBERRIE CREEK","17002","1930","1977","Bureau of Meteorology","-29.6267","137.5367","27.0"
"ANGORICHINA HOSTEL","17003","1866","1977","Bureau of Meteorology","-31.1281","138.5594","320.0"
"ANNA CREEK","17004","1883","","Bureau of Meteorology","-28.8921","136.1688","105.0"
"LEIGH CREEK AERO","17005","1952","1982","Bureau of Meteorology","-30.4667","138.4075","194.0"
"APOLLINARIS WELL","17006","1925","1953","Bureau of Meteorology","-29.9267","138.7517","123.0"
"OODNADATTA (ALLANDALE)","17007","1909","","Bureau of Meteorology","-27.6286","135.5879","137.0"
"ARROWIE","17008","1876","1949","Bureau of Meteorology","-30.8536","139.2933","110.0"
"AVONDALE","17009","1898","1953","Bureau of Meteorology","-30.2314","138.4511","150.0"
"GAMMON RANGES (BALCANOONA)","17010","1944","","Bureau of Meteorology","-30.5328","139.3029","180.0"
"BELTANA","17011","1874","1985","Bureau of Meteorology","-30.8133","138.4133","236.2"
"BELTANA STATION","17012","1872","","Bureau of Meteorology","-30.8246","138.3822","230.0"
"BERESFORD","17013","1930","1978","Bureau of Meteorology","-29.2431","136.6581","27.0"
"BLINMAN","17014","1874","","Bureau of Meteorology","-31.0939","138.6786","615.7"
"BRACHINA SIDING","17015","1950","1980","Bureau of Meteorology","-31.3394","138.4111","128.0"
"CLIFTON HILLS","17016","1894","","Bureau of Meteorology","-27.0181","138.8949","32.0"
"COMMODORE","17017","1910","","Bureau of Meteorology","-31.2531","138.3892","105.0"
"COPLEY","17018","1883","1963","Bureau of Meteorology","-30.5564","138.4222","235.0"
"CORDILLO DOWNS","17019","1883","","Bureau of Meteorology","-26.7061","140.6261","71.0"
"MUNGERANIE (COWARIE)","17020","1881","","Bureau of Meteorology","-27.7017","138.3361","7.0"
"COWARD SPRINGS","17021","1897","1977","Bureau of Meteorology","-29.4025","136.8108","16.0"
"MOOMBA (TANTANNA)","17022","2001","","Bureau of Meteorology","-28.1696","139.6105","20.0"
"EDWARDS CREEK","17023","1930","1980","Bureau of Meteorology","-28.3325","135.8483","126.0"
"MARREE (FARINA)","17024","1879","","Bureau of Meteorology","-30.066","138.2739","91.0"
"FINNISS SPRINGS","17025","1920","1971","Bureau of Meteorology","-29.745","137.505","55.0"
"MOOMBA (DARALINGIE)","17026","2001","","Bureau of Meteorology","-28.3725","139.9727","30.0"
"INNAMINCKA POLICE CAMP","17027","1883","1952","Bureau of Meteorology","-27.8","140.7333","51.0"
"INNAMINCKA STATION","17028","1882","","Bureau of Meteorology","-27.724","140.7633","53.0"
"LYNDHURST POST OFFICE","17029","1902","1989","Bureau of Meteorology","-30.2867","138.3458","125.0"
"MACUMBA","17030","1891","","Bureau of Meteorology","-27.2547","135.648","120.0"
"MARREE","17031","1885","","Bureau of Meteorology","-29.6481","138.0637","50.0"
"BLINMAN (MOOLOOLOO)","17032","1947","","Bureau of Meteorology","-30.9904","138.5787","460.0"
"MOUNT DUTTON","17033","1929","1980","Bureau of Meteorology","-27.815","135.715","90.0"
"MOUNT LYNDHURST","17034","1878","2002","Bureau of Meteorology","-30.1828","138.7093","215.0"
"GAMMON RANGES (MOUNT SERLE)","17035","1947","1991","Bureau of Meteorology","-30.5439","138.8558","520.0"
"LAKE EYRE (MULKA)","17036","1917","2006","Bureau of Meteorology","-28.3525","138.6534","58.0"
"MULOORINA STATION (MULOORINA HOMESTEAD)","17037","1881","","Bureau of Meteorology","-29.239","137.9058","3.0"
"MARREE (MUNDOWDNA STATION)","17038","1944","","Bureau of Meteorology","-29.7331","138.2329","70.0"
"MARREE (MURNPEOWIE)","17039","1893","1999","Bureau of Meteorology","-29.5911","139.0497","100.0"
"COPLEY (MYRTLE SPRINGS)","17040","1897","2000","Bureau of Meteorology","-30.4514","138.2156","170.0"
"BLINMAN (NARRINA)","17041","1937","","Bureau of Meteorology","-30.9372","138.8919","438.0"
"NEPABUNNA MISSION","17042","1939","1975","Bureau of Meteorology","-30.5867","138.9833","460.0"
"OODNADATTA AIRPORT","17043","1939","","Bureau of Meteorology","-27.5553","135.4456","116.5"
"OODNADATTA POST OFFICE","17044","1892","1941","Bureau of Meteorology","-27.5458","135.4433","117.0"
"PANDIE PANDIE","17045","1949","","Bureau of Meteorology","-26.1317","139.385","40.0"
"PARACHILNA","17046","1930","1980","Bureau of Meteorology","-31.1339","138.3947","142.0"
"PEDIRKA","17047","1930","1980","Bureau of Meteorology","-26.6567","135.2067","162.0"
"GAMMON RANGES (UMBERATANA)","17048","1886","2008","Bureau of Meteorology","-30.2402","139.13","525.0"
"WARRINA","17050","1891","1930","Bureau of Meteorology","-28.2","135.8333","97.0"
"WARRAWEENA","17051","1930","2009","Bureau of Meteorology","-30.7675","138.6359","447.0"
"WERTALOONA","17052","1906","","Bureau of Meteorology","-30.6383","139.3445","100.0"
"WILLIAM CREEK","17053","1874","2010","Bureau of Meteorology","-28.9062","136.3386","74.0"
"BLINMAN (WIRREALPA)","17054","1875","","Bureau of Meteorology","-31.1278","138.9618","255.0"
"MARREE (WITCHELINA STATION)","17055","1898","","Bureau of Meteorology","-30.0213","138.0424","165.0"
"GAMMON RANGES (WOOLTANA)","17056","1877","","Bureau of Meteorology","-30.4132","139.4198","135.0"
"WYAMBANA","17057","1938","1949","Bureau of Meteorology","-31.1933","139.4394","45.0"
"MARREE (DULKANINNA)","17058","1950","","Bureau of Meteorology","-29.0174","138.4608","32.0"
"THE KNOB","17059","1925","1953","Bureau of Meteorology","-30.0158","138.9944","198.0"
"TILCHA","17060","1884","1942","Bureau of Meteorology","-29.605","140.89","110.0"
"STUARTS CREEK","17061","1877","1930","Bureau of Meteorology","-29.7","137.04","20.0"
"CADELGA","17062","1886","1962","Bureau of Meteorology","-26.09","140.4067","60.0"
"KANOWANA","17063","1888","1939","Bureau of Meteorology","-27.8383","139.6233","22.0"
"MOUNT HOPELESS","17064","1918","1936","Bureau of Meteorology","-29.595","139.75","30.0"
"EDIACARA","17065","1881","1938","Bureau of Meteorology","-30.3983","137.9033","80.0"
"KILLALPANINNA","17066","1885","1924","Bureau of Meteorology","-28.6","138.5667","18.3"
"MUNGERANIE","17067","1887","","Bureau of Meteorology","-28.0183","138.6637","60.0"
"TROUDANINNA","17068","1893","1936","Bureau of Meteorology","-29.05","139.1667","14.0"
"ILBUNGA","17069","1930","1979","Bureau of Meteorology","-26.4217","135.0333","190.0"
"MOUNT DARE","17070","1950","","Bureau of Meteorology","-26.0702","135.2471","150.0"
"IRRAPATANNA","17071","1954","1965","Bureau of Meteorology","-29.0283","136.4917","91.0"
"MOUNT SARAH (CAR 732 MILE)","17072","1947","1978","Bureau of Meteorology","-26.93","135.3417","191.4"
"BIRDSVILLE (ANDREWILLA POLICE CAMP)","17073","1894","1902","Bureau of Meteorology","-26.5133","139.2817","30.0"
"MOOMBA (CALLABONNA)","17074","1902","1909","Bureau of Meteorology","-29.7567","140.245","30.0"
"DALHOUSIE SPRINGS","17075","1879","1890","Bureau of Meteorology","-26.5167","135.4617","126.0"
"MARREE (CLAYTON)","17076","1914","","Bureau of Meteorology","-29.2781","138.3823","43.0"
"BELTANA DEPOT WELL","17077","1926","1936","Bureau of Meteorology","-30.585","138.0592","66.0"
"GOYDERS LAGOON","17078","1901","1919","Bureau of Meteorology","-26.9514","138.9528","20.0"
"MINNIE DOWNS","17079","1915","1940","Bureau of Meteorology","-26.0517","139.8583","50.0"
"LYNDHURST (FREELINGWELL)","17080","1887","1939","Bureau of Meteorology","-29.95","139.2333","240.0"
"BIRDSVILLE (MOUNT GASON)","17081","1910","1927","Bureau of Meteorology","-27.3233","138.745","49.0"
"COPLEY (MOUNT SERLE CAMEL DEPOT)","17082","1917","1926","Bureau of Meteorology","-30.5439","138.8558","510.0"
"PUTTABURRA","17083","1927","1933","Bureau of Meteorology","-26.6167","138.6167","23.0"
"RYANSVILLE","17084","1919","1924","Bureau of Meteorology","-31.5792","137.1917","80.0"
"COPLEY (ST RONANS)","17085","1926","1936","Bureau of Meteorology","-30.6369","138.3069","230.0"
"YUDNAMULTANA","17086","1909","1931","Bureau of Meteorology","-30.1781","139.2808","530.0"
"HADDON","17087","1884","1936","Bureau of Meteorology","-26.3517","140.8283","150.0"
"PEECHYWARRINA","17088","1882","1903","Bureau of Meteorology","-29.0317","138.1917","13.0"
"KALAMURINA","17089","1884","","Bureau of Meteorology","-27.7205","138.2548","5.0"
"MONTACOLLINA","17090","1885","1903","Bureau of Meteorology","-29.4","139.9833","1.0"
"WONDILLINA","17091","1897","1907","Bureau of Meteorology","-27.8056","135.6458","110.0"
"WINTABATINGANA","17092","1879","1889","Bureau of Meteorology","-31.3333","138.2333","70.0"
"TINGA TINGANA","17093","1891","1900","Bureau of Meteorology","-28.795","140.1733","30.0"
"PARALLANA","17094","1881","1907","Bureau of Meteorology","-30.2067","139.4558","155.0"
"ALTON DOWNS","17095","1886","1939","Bureau of Meteorology","-26.1533","138.9383","34.0"
"MOOMBA","17096","1972","2005","Bureau of Meteorology","-28.1125","140.2102","39.0"
"BLINMAN (ANGORICHINA)","17097","1969","","Bureau of Meteorology","-31.0887","138.7414","570.0"
"PARACHILNA (MOTPENA)","17098","1969","","Bureau of Meteorology","-31.1881","138.2785","85.0"
"ARKAROOLA","17099","1938","","Bureau of Meteorology","-30.311","139.3357","318.0"
"BLANCHEWATER STATION","17100","1879","1938","Bureau of Meteorology","-29.55","139.4667","44.0"
"LEIGH CREEK E.T.S.A","17101","1972","1975","Bureau of Meteorology","-30.4825","138.4136","195.0"
"COPLEY (YANKANINNA)","17102","1923","1993","Bureau of Meteorology","-30.3658","139.0533","600.0"
"MOUNT PAINTER RADIUM CAMP","17104","1912","1914","Bureau of Meteorology","-30.2339","139.3233","425.0"
"QUINYAMBIE","17105","1887","1973","Bureau of Meteorology","-30.215","140.9917","82.0"
"BROUGHMAN'S GATE HOUSE (QUINYAMBIE)","17106","1973","","Bureau of Meteorology","-30.8715","140.971","61.0"
"LEIGH CREEK SOUTH","17107","1977","1993","Bureau of Meteorology","-30.5925","138.4053","250.0"
"LEIGH CREEK NORTHERN COALFIELD","17108","1975","1977","Bureau of Meteorology","-30.4064","138.3961","165.0"
"THE PEAKE","17109","1873","1891","Bureau of Meteorology","-28.0767","135.9042","80.0"
"LEIGH CREEK AIRPORT","17110","1982","","Bureau of Meteorology","-30.5963","138.4219","258.8"
"INNAMINCKA (DULLINGARI)","17111","1984","","Bureau of Meteorology","-28.1484","140.8672","88.0"
"MOOMBA (TIRRAWARRA)","17112","1984","","Bureau of Meteorology","-27.6908","140.1066","40.0"
"PARACHILNA (NILPENA)","17113","1973","","Bureau of Meteorology","-31.0086","138.2294","90.0"
"OODNADATTA","17114","1985","2013","Bureau of Meteorology","-27.5498","135.4484","120.0"
"CAMERON CORNER (LINDON)","17115","1987","","Bureau of Meteorology","-29.1266","140.9018","110.0"
"GAMMON RANGES (COULTHARD)","17116","1990","2002","Bureau of Meteorology","-30.275","139.3397","550.0"
"GAMMON RANGES (GREENWOOD HILL)","17117","1990","2002","Bureau of Meteorology","-30.2811","139.2639","445.0"
"INNAMINCKA (COOPER CREEK)","17118","1976","","Bureau of Meteorology","-27.7419","140.7345","47.0"
"BELTANA ROADHOUSE","17119","1986","","Bureau of Meteorology","-30.8406","138.3224","180.0"
"GAMMON RANGES (MOUNT PAINTER)","17120","1990","2002","Bureau of Meteorology","-30.2369","139.0003","415.0"
"INNAMINCKA HOTEL","17121","1993","","Bureau of Meteorology","-27.7466","140.7384","40.0"
"GAMMON RANGES (OWIEANDANA)","17122","1993","2003","Bureau of Meteorology","-30.4456","138.9481","518.0"
"MOOMBA AIRPORT","17123","1995","","Bureau of Meteorology","-28.0997","140.1956","37.8"
"INNAMINCKA (KELEARY)","17124","1996","1998","Bureau of Meteorology","-27.0742","140.6817","40.0"
"INNAMINCKA (BOOKABOURDIE)","17125","1997","","Bureau of Meteorology","-27.5347","140.4736","45.0"
"MARREE AERO","17126","1998","","Bureau of Meteorology","-29.6587","138.0684","50.0"
"NILPINNA","17127","1998","","Bureau of Meteorology","-28.4809","135.9211","180.0"
"MARREE (MULGARIA)","17128","1998","2011","Bureau of Meteorology","-30.0728","137.5666","80.0"
"MARREE (WILPOORINNA STATION)","17129","1998","","Bureau of Meteorology","-29.9564","138.3411","85.0"
"MARREE (CALLANNA)","17130","1998","","Bureau of Meteorology","-29.7138","137.9017","70.0"
"GAMMON RANGES (MOOLAWATANA)","17131","1998","","Bureau of Meteorology","-29.9062","139.7345","98.0"
"MARREE (ETADUNNA)","17132","1998","","Bureau of Meteorology","-28.719","138.6341","30.0"
"GAMMON RANGES (EXCLOSURE)","17135","1990","2010","Bureau of Meteorology","-30.4384","138.9706","550.0"
"LYNDHURST","17139","2006","","Bureau of Meteorology","-30.2883","138.3525","128.0"
"MOOMBA (SELLICKS CAMP)","17140","2008","2012","Bureau of Meteorology","-27.9295","139.4748","20.0"
"ARKARINGA","18000","1938","1955","Bureau of Meteorology","-33.205","137.1867","164.0"
"ARNO BAY","18001","1907","","Bureau of Meteorology","-33.9118","136.5697","9.0"
"PENONG (PENALUMBA)","18002","1898","","Bureau of Meteorology","-31.831","132.6262","44.0"
"BRAMFIELD POST OFFICE","18003","1886","1969","Bureau of Meteorology","-33.625","134.9983","10.0"
"BREEZER PLAINS (KOOLBALLA HILL)","18004","1917","1947","Bureau of Meteorology","-33.1","135.055","75.0"
"YEELANA (BRIMPTON LAKE)","18005","1907","","Bureau of Meteorology","-34.0586","135.5038","61.0"
"WHYALLA (BROADVIEW STATION)","18006","1932","","Bureau of Meteorology","-33.1217","137.2273","118.0"
"YEELANA (BROOKER)","18007","1913","","Bureau of Meteorology","-34.1003","135.8415","115.0"
"BUCKLEBOO (BUCLKEBOO POST OFFICE)","18008","1933","1987","Bureau of Meteorology","-32.92","136.2133","152.4"
"CARAWA","18009","1898","1950","Bureau of Meteorology","-32.3683","134.23","45.0"
"CARPA","18010","1933","1990","Bureau of Meteorology","-33.76","136.6867","130.0"
"CEDUNA POST OFFICE","18011","1906","1990","Bureau of Meteorology","-32.1267","133.6725","10.0"
"CEDUNA AMO","18012","1939","","Bureau of Meteorology","-32.1297","133.6976","15.3"
"CHANDADA POST OFFICE","18013","1929","1968","Bureau of Meteorology","-32.7592","134.6717","75.0"
"CLEVE","18014","1896","","Bureau of Meteorology","-33.7011","136.4937","193.0"
"NUNDROO (COLONA)","18015","1925","1989","Bureau of Meteorology","-31.6267","132.0667","38.1"
"COLTON (BOOLA BOOLA)","18016","1892","1965","Bureau of Meteorology","-33.5317","134.9017","18.0"
"PORT LINCOLN (BIG SWAMP)","18017","1897","","Bureau of Meteorology","-34.6266","135.6992","110.0"
"KIMBA (CORTLINYE ROCKS STN)","18018","1916","1991","Bureau of Meteorology","-33.01","136.2933","273.0"
"COULTA","18019","1877","","Bureau of Meteorology","-34.3853","135.4697","75.0"
"COULTA (THE GLEN)","18020","1934","1962","Bureau of Meteorology","-34.365","135.5717","133.0"
"COURELA (CHALLNER)","18021","1911","1966","Bureau of Meteorology","-32.535","134.4367","47.0"
"COWELL","18022","1885","","Bureau of Meteorology","-33.6772","136.9116","12.0"
"CUMMINS","18023","1914","","Bureau of Meteorology","-34.2644","135.7266","65.0"
"DARKE PEAK","18024","1914","","Bureau of Meteorology","-33.4678","136.2113","165.0"
"DENIAL BAY","18025","1920","1975","Bureau of Meteorology","-32.1028","133.5767","5.0"
"FISHER SIDING","18026","1940","1970","Bureau of Meteorology","-30.5517","130.9583","120.0"
"DENMAN (TAR 595 MILE)","18027","1940","1967","Bureau of Meteorology","-30.6667","129.9667","144.0"
"OMALLEY (522 MILES SIDING)","18028","1940","1971","Bureau of Meteorology","-30.525","131.1967","117.0"
"MUNGALA SIDING (TAR 416 MILE)","18029","1940","1971","Bureau of Meteorology","-30.5783","132.8967","150.0"
"FOWLERS BAY","18030","1878","2010","Bureau of Meteorology","-31.99","132.4372","3.0"
"IRON KNOB (GILLES DOWNS)","18031","1925","","Bureau of Meteorology","-32.8681","137.003","187.0"
"GLEN BOREE","18032","1902","1971","Bureau of Meteorology","-31.8817","132.51","40.0"
"CEDUNA (GOODE)","18033","1908","","Bureau of Meteorology","-31.9674","133.7658","132.0"
"IRON KNOB","18034","1911","","Bureau of Meteorology","-32.7324","137.1505","158.0"
"KAPPAWANTA","18035","1906","1986","Bureau of Meteorology","-33.6686","135.2767","60.0"
"KARCULTABY","18036","1922","","Bureau of Meteorology","-32.7357","134.9709","134.0"
"KIMBA (CURTINYE)","18037","1918","","Bureau of Meteorology","-33.1861","136.559","308.0"
"BALUMBAH","18038","1950","1972","Bureau of Meteorology","-33.3058","136.4175","282.0"
"KIELPA","18039","1928","1991","Bureau of Meteorology","-33.5883","136.2233","150.0"
"KIMBA","18040","1920","","Bureau of Meteorology","-33.1416","136.4126","280.0"
"KIMBA (THE PINES)","18041","1915","1966","Bureau of Meteorology","-33.1167","136.4167","275.0"
"CEDUNA (KOONIBBA RESERVE)","18042","1910","1989","Bureau of Meteorology","-31.9017","133.4217","62.0"
"KOPPIO","18043","1884","","Bureau of Meteorology","-34.4139","135.8224","173.0"
"KYANCUTTA","18044","1930","","Bureau of Meteorology","-33.1337","135.5521","59.0"
"SHERINGA (LAKE HAMILTON)","18045","1877","","Bureau of Meteorology","-33.9534","135.2682","8.0"
"LOCK","18046","1915","","Bureau of Meteorology","-33.5676","135.7561","147.0"
"CEDUNA (MALTEE)","18047","1929","","Bureau of Meteorology","-32.0723","133.9401","63.0"
"CLEVE (MANGALO)","18048","1906","1999","Bureau of Meteorology","-33.5322","136.6242","260.0"
"BUTLER TANKS (NORTH PARNDA)","18049","1905","","Bureau of Meteorology","-34.1201","136.1607","100.0"
"MILTALIE (POODRA)","18050","1886","1927","Bureau of Meteorology","-33.5983","136.8433","200.0"
"MILTALIE (HILLVIEW)","18051","1904","1960","Bureau of Meteorology","-33.59","136.8567","155.0"
"MINNIPA AGRICULTURAL CENTRE","18052","1915","2001","Bureau of Meteorology","-32.8361","135.15","168.0"
"MINNIPA","18053","1914","","Bureau of Meteorology","-32.8542","135.1542","154.0"
"PORT KENNY (MOUNT COOPER)","18054","1939","","Bureau of Meteorology","-33.0314","134.7015","150.0"
"MOUNT HOPE","18055","1932","1987","Bureau of Meteorology","-34.1058","135.355","51.0"
"MOUNT WEDGE","18056","1884","","Bureau of Meteorology","-33.4839","135.1592","42.0"
"MOUNT WUDINNA","18057","1907","","Bureau of Meteorology","-32.9916","135.5482","178.0"
"WHYALLA (MULLAQUANA)","18058","1910","","Bureau of Meteorology","-33.2122","137.3623","51.0"
"WHYALLA (NONOWIE)","18059","1903","2011","Bureau of Meteorology","-33.1257","137.3639","82.0"
"NUNDROO","18060","1932","","Bureau of Meteorology","-31.7782","132.2038","36.0"
"WIRRULLA (NUNJIKOMPITA)","18061","1929","1989","Bureau of Meteorology","-32.2694","134.3364","70.0"
"PEACHNA","18062","1933","1952","Bureau of Meteorology","-33.7778","135.715","60.0"
"PENONG","18063","1892","","Bureau of Meteorology","-31.932","133.0056","16.0"
"WIRRULLA (PETINA)","18064","1904","1993","Bureau of Meteorology","-32.4792","134.3917","45.0"
"CLEVE (PINESIDE)","18065","1909","2004","Bureau of Meteorology","-33.8663","136.3833","60.0"
"POINT LOWLY LIGHTHOUSE","18066","1900","1973","Bureau of Meteorology","-33.0028","137.785","0.0"
"PONDOOMA POST OFFICE","18067","1901","1977","Bureau of Meteorology","-33.5217","137.0192","50.0"
"POOCHERA","18068","1919","","Bureau of Meteorology","-32.7229","134.8373","80.0"
"ELLISTON","18069","1882","","Bureau of Meteorology","-33.6501","134.888","7.0"
"PORT LINCOLN","18070","1866","2002","Bureau of Meteorology","-34.7225","135.8558","4.0"
"NORTH SHIELDS (PORT LINCOLN AERODROME)","18071","1946","","Bureau of Meteorology","-34.6017","135.8732","11.0"
"PORT NEILL","18072","1912","","Bureau of Meteorology","-34.1187","136.3508","7.0"
"SMOKY BAY (PUNTABIE)","18073","1916","2007","Bureau of Meteorology","-32.2021","134.1307","57.0"
"ROOPENA","18074","1891","2013","Bureau of Meteorology","-32.7255","137.4028","92.0"
"RUDALL","18075","1925","1997","Bureau of Meteorology","-33.69","136.2683","97.0"
"SHERINGA","18076","1915","1989","Bureau of Meteorology","-33.8492","135.2308","7.0"
"SMOKY BAY","18077","1912","","Bureau of Meteorology","-32.3761","133.9369","3.0"
"STOKES","18078","1889","1991","Bureau of Meteorology","-34.2942","135.9267","180.0"
"STREAKY BAY","18079","1865","","Bureau of Meteorology","-32.7963","134.2116","13.0"
"TALIA","18080","1906","1977","Bureau of Meteorology","-33.3167","134.8667","22.0"
